Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Public Class,org.junit.jupiter.api.AssertionFailureBuilder,31,1.0,1.0,87.0,0.0,8.0,17.0,,99.0
Public Class,org.junit.jupiter.api.Assertions,292,1.0,1.0,0.0,1.0,41.0,292.0,,1025.0
Public Class,org.junit.jupiter.api.Assumptions,26,1.0,1.0,0.0,1.0,9.0,19.0,,80.0
Public Class,org.junit.jupiter.api.DynamicContainer,5,1.0,2.0,60.0,0.0,7.0,5.0,,22.0
Public Class,org.junit.jupiter.api.DynamicTest,13,1.0,2.0,80.0,0.0,10.0,10.0,,59.0
Public Class,org.junit.jupiter.api.EqualsAndHashCodeAssertions,2,1.0,1.0,0.0,0.0,1.0,2.0,,21.0
Public Class,org.junit.jupiter.api.MediaType,13,1.0,1.0,50.0,2.0,9.0,8.0,,64.0
Public Class,org.junit.jupiter.api.TemporaryClasspathExecutor,3,1.0,1.0,0.0,0.0,6.0,2.0,,17.0
Public Class,org.junit.jupiter.api.condition.DisabledIfConditionClassLoaderTests,2,1.0,1.0,0.0,0.0,13.0,2.0,,27.0
Public Class,org.junit.jupiter.api.condition.DisabledIfConditionTests,9,1.0,2.0,0.0,0.0,6.0,9.0,,58.0
Public Class,org.junit.jupiter.api.condition.DisabledIfIntegrationTests,11,1.0,1.0,0.0,0.0,5.0,11.0,,57.0
Public Class,org.junit.jupiter.api.condition.EnabledIfConditionClassLoaderTests,2,1.0,1.0,0.0,0.0,13.0,2.0,,27.0
Public Class,org.junit.jupiter.api.condition.EnabledIfConditionTests,9,1.0,2.0,0.0,0.0,6.0,9.0,,58.0
Public Class,org.junit.jupiter.api.condition.EnabledIfIntegrationTests,11,1.0,1.0,0.0,0.0,5.0,11.0,,57.0
Public Class,org.junit.jupiter.api.condition.JRETests,20,1.0,1.0,0.0,0.0,3.0,20.0,,113.0
Public Class,org.junit.jupiter.api.condition.StaticConditionMethods,2,1.0,1.0,0.0,0.0,0.0,2.0,,8.0
Public Class,org.junit.jupiter.api.extension.CloseableResourceIntegrationTests,2,1.0,2.0,0.0,0.0,10.0,2.0,,57.0
Public Class,org.junit.jupiter.api.extension.ConditionEvaluationResult,10,1.0,1.0,57.0,0.0,6.0,7.0,,38.0
Public Class,org.junit.jupiter.api.extension.ExecutableInvokerIntegrationTests,2,1.0,2.0,0.0,0.0,8.0,2.0,,67.0
