Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Public Class,org.junit.jupiter.api.AssertionFailureBuilder,31,1,1,87,0,8,17,,99
Public Class,org.junit.jupiter.api.Assertions,292,1,1,0,1,41,292,,1025
Public Class,org.junit.jupiter.api.Assumptions,26,1,1,0,1,9,19,,80
Public Class,org.junit.jupiter.api.DynamicContainer,5,1,2,60,0,7,5,,22
Public Class,org.junit.jupiter.api.DynamicTest,13,1,2,80,0,10,10,,59
Public Class,org.junit.jupiter.api.EqualsAndHashCodeAssertions,2,1,1,0,0,1,2,,21
Public Class,org.junit.jupiter.api.TemporaryClasspathExecutor,3,1,1,0,0,6,2,,17
Public Class,org.junit.jupiter.api.condition.DisabledIfConditionClassLoaderTests,2,1,1,0,0,13,2,,27
Public Class,org.junit.jupiter.api.condition.DisabledIfConditionTests,9,1,2,0,0,6,9,,58
Public Class,org.junit.jupiter.api.condition.DisabledIfIntegrationTests,11,1,1,0,0,5,11,,57
Public Class,org.junit.jupiter.api.condition.EnabledIfConditionClassLoaderTests,2,1,1,0,0,13,2,,27
Public Class,org.junit.jupiter.api.condition.EnabledIfConditionTests,9,1,2,0,0,6,9,,58
Public Class,org.junit.jupiter.api.condition.EnabledIfIntegrationTests,11,1,1,0,0,5,11,,57
Public Class,org.junit.jupiter.api.condition.JRETests,20,1,1,0,0,3,20,,113
Public Class,org.junit.jupiter.api.condition.StaticConditionMethods,2,1,1,0,0,0,2,,8
Public Class,org.junit.jupiter.api.extension.CloseableResourceIntegrationTests,2,1,2,0,0,10,2,,57
Public Class,org.junit.jupiter.api.extension.ConditionEvaluationResult,8,1,1,57,0,6,7,,35
Public Class,org.junit.jupiter.api.extension.ExecutableInvokerIntegrationTests,2,1,2,0,0,8,2,,67
Public Class,org.junit.jupiter.api.extension.ExtensionConfigurationException,2,1,3,0,0,3,2,,10
Public Class,org.junit.jupiter.api.extension.ExtensionContextException,2,1,3,0,0,4,2,,12
Public Class,org.junit.jupiter.api.extension.ExtensionContextParameterResolver,2,1,1,0,0,4,2,,12
Public Class,org.junit.jupiter.api.extension.KitchenSinkExtension,42,1,1,0,0,15,42,,184
Public Class,org.junit.jupiter.api.extension.MediaType,9,1,1,43,0,8,7,,54
Public Class,org.junit.jupiter.api.extension.ParameterResolutionException,2,1,3,0,0,3,2,,10
Public Class,org.junit.jupiter.api.extension.TemplateInvocationValidationException,1,1,3,0,0,2,1,,7
Public Class,org.junit.jupiter.api.extension.TestInstantiationException,2,1,3,0,0,3,2,,10
Public Class,org.junit.jupiter.api.parallel.Resources,1,1,1,0,0,2,1,,14
Public Class,org.junit.jupiter.engine.ClassTemplateInvocationTests,48,1,2,0,0,63,31,,1209
Public Class,org.junit.jupiter.engine.JupiterTestEngineTests,8,1,1,74,0,12,7,,49
Public Class,org.junit.jupiter.engine.bridge.ChildWithBridgeMethods,3,1,2,0,0,4,3,,14
Public Class,org.junit.jupiter.engine.config.CachingJupiterConfiguration,33,1,1,50,0,21,19,,99
Public Class,org.junit.jupiter.engine.config.DefaultJupiterConfiguration,24,1,1,50,0,25,21,,120
Public Class,org.junit.jupiter.engine.descriptor.ClassTemplateInvocationTestDescriptor,20,1,3,69,0,32,15,,103
Public Class,org.junit.jupiter.engine.descriptor.ClassTemplateTestDescriptor,26,1,4,70,0,28,16,,176
Public Class,org.junit.jupiter.engine.descriptor.ClassTestDescriptor,10,1,4,0,0,19,8,,39
Public Class,org.junit.jupiter.engine.descriptor.CustomDisplayNameGenerator,3,1,1,0,0,5,3,,15
Public Class,org.junit.jupiter.engine.descriptor.DynamicDescendantFilter,15,1,1,52,1,9,11,,71
Private Class,org.junit.jupiter.engine.descriptor.DynamicDescendantFilter.WithoutIndexFiltering,3,1,2,0,0,4,3,,14
Public Class,org.junit.jupiter.engine.descriptor.ExtensionContextTests,89,1,1,60,0,60,25,,406
Public Class,org.junit.jupiter.engine.descriptor.JupiterEngineDescriptor,5,1,3,40,0,14,5,,32
Public Class,org.junit.jupiter.engine.descriptor.LauncherStoreFacade,8,1,1,58,0,9,6,,29
Public Class,org.junit.jupiter.engine.descriptor.NamespaceTests,2,1,1,0,0,3,2,,14
Public Class,org.junit.jupiter.engine.descriptor.NestedClassTestDescriptor,11,1,4,0,0,21,8,,52
Public Class,org.junit.jupiter.engine.descriptor.TestFactoryTestDescriptor,24,1,5,69,0,40,13,,119
Public Class,org.junit.jupiter.engine.descriptor.TestMethodTestDescriptor,43,1,4,87,2,41,23,,180
Public Class,org.junit.jupiter.engine.descriptor.TestTemplateInvocationTestDescriptor,8,1,5,43,0,15,7,,43
Public Class,org.junit.jupiter.engine.descriptor.TestTemplateTestDescriptor,8,1,4,50,0,22,8,,95
Private Class,org.junit.jupiter.engine.descriptor.TestTemplateTestDescriptor.TestTemplateExecutor,8,1,2,0,0,13,8,,43
Public Class,org.junit.jupiter.engine.descriptor.subpackage.Class1WithTestCases,1,1,1,0,0,1,1,,5
Public Class,org.junit.jupiter.engine.descriptor.subpackage.Class2WithTestCases,1,1,1,0,0,1,1,,5
Public Class,org.junit.jupiter.engine.descriptor.subpackage.ClassWithStaticInnerTestCases,0,0,1,0,0,0,0,,14
Public Class,org.junit.jupiter.engine.descriptor.subpackage.ClassWithoutTestCases,0,0,1,0,0,0,0,,2
Public Class,org.junit.jupiter.engine.discovery.DiscoverySelectorResolver,2,1,1,0,0,17,2,,26
Private Class,org.junit.jupiter.engine.discovery.DiscoveryTests.InvalidTestCases.InvalidTestClassSubclassTestCase,0,0,2,0,0,0,0,,2
Private Class,org.junit.jupiter.engine.discovery.DiscoveryTests.InvalidTestCases.InvalidTestClassTestCase,1,1,1,0,1,3,1,,16
Public Class,org.junit.jupiter.engine.discovery.JupiterUniqueIdBuilder,13,1,1,0,0,17,10,,42
Public Class,org.junit.jupiter.engine.discovery.predicates.IsTestFactoryMethod,15,3,2,0,0,16,5,,62
Public Class,org.junit.jupiter.engine.discovery.predicates.IsTestMethod,1,1,2,0,0,3,1,,6
Public Class,org.junit.jupiter.engine.discovery.predicates.IsTestTemplateMethod,1,1,2,0,0,3,1,,6
Public Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicates,25,1,1,91,0,17,13,,80
Public Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests,0,0,1,0,0,4,0,,310
Private Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests.TestCases.NestedClassesTestCase.PrivateInnerClass,0,0,1,0,0,2,0,,4
Private Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests.TestCases.PrivateClassWithNestedTestClass,0,0,1,0,0,1,0,,12
Private Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests.TestCases.PrivateClassWithTestFactory,1,1,1,0,0,4,1,,7
Private Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests.TestCases.PrivateClassWithTestMethod,1,1,1,0,0,2,1,,6
Private Class,org.junit.jupiter.engine.discovery.predicates.TestClassPredicatesTests.TestCases.PrivateClassWithTestTemplate,1,1,1,0,0,2,1,,6
Public Class,org.junit.jupiter.engine.execution.ConditionEvaluator,8,1,1,0,0,13,4,,34
Public Class,org.junit.jupiter.engine.execution.DefaultExecutableInvoker,3,1,1,0,0,9,3,,21
Public Class,org.junit.jupiter.engine.execution.DefaultTestInstances,9,1,1,29,0,9,7,,39
Public Class,org.junit.jupiter.engine.execution.InterceptingExecutableInvoker,7,1,1,0,0,16,4,,49
Public Class,org.junit.jupiter.engine.execution.InvocationInterceptorChain,7,1,1,0,0,11,4,,104
Public Class,org.junit.jupiter.engine.execution.JupiterEngineExecutionContext,17,1,1,71,0,13,15,,120
Public Class,org.junit.jupiter.engine.execution.NamespaceAwareStore,17,1,1,89,0,10,9,,58
Public Class,org.junit.jupiter.engine.execution.ParameterResolutionUtils,21,1,1,0,0,24,6,,95
Public Class,org.junit.jupiter.engine.execution.injection.sample.CustomAnnotationParameterResolver,2,1,1,0,0,5,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.CustomType,1,1,1,0,0,3,1,,7
Public Class,org.junit.jupiter.engine.execution.injection.sample.CustomTypeParameterResolver,2,1,1,0,0,4,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.DoubleParameterResolver,2,1,1,0,0,4,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.LongParameterResolver,5,3,1,0,0,7,2,,23
