Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Protected Method,org.junit.api.tools.AbstractApiReportWriter.paragraph,1,,,,,,,1.0,3.0
Public Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationInfo,2,,,,,,,1.0,5.0
Protected Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationSection,2,,,,,,,1.0,20.0
Protected Method,org.junit.api.tools.AbstractApiReportWriter.printDeclarationSectionHeader,2,,,,,,,1.0,11.0
Public Method,org.junit.api.tools.AbstractApiReportWriter.printReportHeader,1,,,,,,,1.0,8.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.code,1,,,,,,,1.0,4.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.h1,1,,,,,,,1.0,4.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.h2,1,,,,,,,1.0,4.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.h4,1,,,,,,,1.0,4.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.h5,1,,,,,,,1.0,4.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.italic,1,,,,,,,1.0,4.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.printDeclarationTableFooter,1,,,,,,,1.0,4.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.printDeclarationTableHeader,1,,,,,,,1.0,7.0
Protected Method,org.junit.api.tools.AsciidocApiReportWriter.printDeclarationTableRow,1,,,,,,,1.0,7.0
Public Method,org.junit.api.tools.Declaration.Method.classInfo,1,,,,,,,1.0,3.0
Public Method,org.junit.api.tools.Declaration.Method.fullName,1,,,,,,,1.0,4.0
Private Method,org.junit.api.tools.Declaration.Method.getParameterValues,1,,,,,,,1.0,3.0
Public Method,org.junit.api.tools.Declaration.Method.kind,3,,,,,,,3.0,10.0
Private Method,org.junit.api.tools.Declaration.Method.methodParameters,2,,,,,,,1.0,5.0
Private Method,org.junit.api.tools.Declaration.Method.methodSignature,1,,,,,,,1.0,3.0
Public Method,org.junit.api.tools.Declaration.Method.moduleName,1,,,,,,,1.0,4.0
Public Method,org.junit.api.tools.Declaration.Method.name,3,,,,,,,3.0,10.0
Public Method,org.junit.api.tools.Declaration.Method.packageName,1,,,,,,,1.0,4.0
Public Method,org.junit.api.tools.Declaration.Method.since,1,,,,,,,1.0,4.0
Public Method,org.junit.api.tools.Declaration.Method.status,1,,,,,,,1.0,4.0
Public Method,org.junit.api.tools.Declaration.Type.fullName,1,,,,,,,1.0,4.0
Private Method,org.junit.api.tools.Declaration.Type.getParameterValues,1,,,,,,,1.0,3.0
Public Method,org.junit.api.tools.Declaration.Type.kind,1,,,,,,,1.0,10.0
Public Method,org.junit.api.tools.Declaration.Type.moduleName,1,,,,,,,1.0,4.0
Public Method,org.junit.api.tools.Declaration.Type.name,2,,,,,,,1.0,5.0
Public Method,org.junit.api.tools.Declaration.Type.packageName,1,,,,,,,1.0,4.0
Public Method,org.junit.api.tools.Declaration.Type.since,1,,,,,,,1.0,4.0
